90%_Confidence_Interval,Job_ID,Predicted_Wait_Time,Processors,Requested_Wall_Time,Resource,Submit_Date,Submit_Time_(CDT),Actual_Wait_Time,Actual_Execution_Time,Actual_Queue_Time
0,2677427,0,16,00:31:00,gordon.sdsc.xsede.org,08/31/2016,23:16:26,1863.0415408611298,1800,63.04154086112976
0,2677465,0,32,00:31:00,gordon.sdsc.xsede.org,08/31/2016,23:47:33,1867.5352079868317,1800,67.53520798683167
0,2677509,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,00:18:44,1867.6216869354248,1800,67.6216869354248
06:37:36,2677516,135:01:48,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,00:49:55,1867.8439559936523,1800,67.84395599365234
07:02:12,2677707,135:57:11,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,01:21:06,2712.6390268802643,1800,912.6390268802643
0,2677713,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,02:06:23,1868.743089914322,1800,68.7430899143219
0,2677727,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,02:37:35,1867.773885011673,1800,67.77388501167297
0,2677737,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,03:08:47,1867.6546168327332,1800,67.65461683273315
12:01:15,2677748,43:02:50,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,03:39:59,1867.9342300891876,1800,67.93423008918762
0,2677756,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,04:11:13,1865.6832370758057,1800,65.68323707580566
0,2677767,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,04:42:25,1865.116768836975,1800,65.1167688369751
07:58:09,2677776,20:02:06,64,00:31:00,gordon.sdsc.xsede.org,09/01/2016,05:13:35,1865.7368898391724,1800,65.73688983917236
0,2677784,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,05:44:46,1865.625293970108,1800,65.62529397010803
04:59:30,2677791,25:30:34,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,06:15:58,1865.8063251972198,1800,65.80632519721985
0,2677796,0,32,00:31:00,gordon.sdsc.xsede.org,09/01/2016,06:47:13,1862.6193659305573,1800,62.61936593055725
0,2677804,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,07:18:21,1865.5316231250763,1800,65.5316231250763
10:43:21,2677812,22:11:17,64,00:31:00,gordon.sdsc.xsede.org,09/01/2016,07:49:32,1926.1522479057312,1800,126.1522479057312
03:30:15,2677857,26:49:11,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,08:21:44,2348.4471831321716,1800,548.4471831321716
0,2677876,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,09:00:58,1865.6465060710907,1800,65.6465060710907
0,2677896,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,09:32:12,1865.8561990261078,1800,65.85619902610779
0,2677912,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,10:03:21,1865.6035611629486,1800,65.60356116294861
0,2677948,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,10:34:32,1865.6170921325684,1800,65.61709213256836
0,2677978,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,11:05:43,1865.6100311279297,1800,65.61003112792969
0,2677993,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,11:36:54,1865.6285099983215,1800,65.62850999832153
0,2678025,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,12:08:06,1865.6514542102814,1800,65.65145421028137
14:51:25,2678286,33:41:40,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,12:39:23,3491.2905349731445,1800,1691.2905349731445
14:31:45,2678323,38:27:33,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,13:37:40,1985.9111251831055,1800,185.91112518310547
14:52:11,2678380,33:53:42,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,14:10:56,1981.9785981178284,1800,181.97859811782837
0,2678433,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,15:15:16,1865.6526370048523,1800,65.6526370048523
0,2678469,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,15:46:28,1865.7177169322968,1800,65.71771693229675
0,2678507,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,16:17:39,1865.696739912033,1800,65.69673991203308
0,2678556,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,16:48:50,1865.631991147995,1800,65.631991147995
06:43:26,2678607,29:53:23,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,17:20:02,1864.7556438446045,1800,64.75564384460449
0,2678848,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,17:51:12,1865.9620871543884,1800,65.96208715438843
15:32:30,2678865,34:40:41,64,00:31:00,gordon.sdsc.xsede.org,09/01/2016,18:22:23,2167.368665933609,1800,367.368665933609
14:32:18,2679353,38:38:05,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,19:29:47,1865.9117250442505,1800,65.91172504425049
14:37:12,2679438,38:43:19,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,20:00:58,1986.9379489421844,1800,186.93794894218445
0,2679535,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,21:05:22,1865.6740820407867,1800,65.67408204078674
15:23:26,2679568,34:21:27,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,21:36:33,2045.9196741580963,1800,245.9196741580963
14:51:56,2679605,34:16:37,64,00:31:00,gordon.sdsc.xsede.org,09/01/2016,22:10:45,2046.0679121017456,1800,246.0679121017456
12:18:32,2679664,47:24:17,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,22:44:58,2046.9974200725555,1800,246.99742007255554
12:56:15,2679677,48:23:36,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,23:19:10,2166.0758888721466,1800,366.0758888721466
0,2679715,0,16,00:31:00,gordon.sdsc.xsede.org,09/01/2016,23:55:27,1860.590250968933,1800,60.590250968933105
0,2679736,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,00:26:34,1926.7304210662842,1800,126.73042106628418
0,2679756,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,00:58:46,1865.6653771400452,1800,65.66537714004517
12:17:33,2679763,52:59:04,32,00:31:00,gordon.sdsc.xsede.org,09/02/2016,01:29:57,1865.8891479969025,1800,65.88914799690247
0,2679771,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,02:01:08,1865.6445920467377,1800,65.64459204673767
0,2679780,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,02:32:19,1865.6766228675842,1800,65.67662286758423
0,2679800,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,03:03:30,1865.657450914383,1800,65.65745091438293
0,2679805,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,03:34:42,1865.6615331172943,1800,65.66153311729431
03:36:22,2679811,30:49:37,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,04:05:53,1865.040214061737,1800,65.04021406173706
0,2679829,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,04:37:03,1864.9505920410156,1800,64.95059204101562
0,2679835,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,05:08:14,1864.6931431293488,1800,64.69314312934875
0,2679844,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,05:39:25,1865.6569459438324,1800,65.6569459438324
0,2679848,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,06:10:36,1865.7506999969482,1800,65.75069999694824
03:50:02,2679871,22:49:51,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,06:41:48,1865.7968509197235,1800,65.79685091972351
0,2679875,0,128,00:31:00,gordon.sdsc.xsede.org,09/02/2016,07:12:59,1865.7355029582977,1800,65.73550295829773
0,2679886,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,07:44:10,1866.1549520492554,1800,66.15495204925537
0,2679965,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,08:15:22,1866.0291628837585,1800,66.02916288375854
0,2680003,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,08:46:33,1925.7231769561768,1800,125.72317695617676
0,2680081,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,09:18:44,1865.5629208087921,1800,65.56292080879211
06:30:06,2680143,128:15:50,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,09:49:57,1865.8444650173187,1800,65.84446501731873
0,2680168,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,10:21:08,1925.4112248420715,1800,125.41122484207153
0,2680186,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,10:53:18,1865.6393859386444,1800,65.63938593864441
0,2680601,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,11:24:29,1866.6973071098328,1800,66.69730710983276
0,2680610,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,11:55:42,1864.758309841156,1800,64.758309841156
0,2680626,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,12:26:53,1864.2204551696777,1800,64.22045516967773
0,2681019,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,13:36:17,1865.654960155487,1800,65.65496015548706
0,2681035,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,14:07:28,1866.0343339443207,1800,66.03433394432068
0,2681063,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,14:38:39,1865.107717037201,1800,65.10771703720093
15:50:30,2681086,33:52:26,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,15:09:50,1865.3890640735626,1800,65.38906407356262
0,2681097,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,15:41:01,1865.3643641471863,1800,65.36436414718628
0,2681112,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,16:12:21,1858.3607528209686,1800,58.36075282096863
15:29:26,2681130,33:49:49,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,16:43:26,2708.7248470783234,1800,908.7248470783234
0,2681217,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,17:28:41,1864.6875441074371,1800,64.68754410743713
15:11:54,2681236,38:36:38,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,17:59:54,1863.9108710289001,1800,63.91087102890015
0,2681247,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,18:31:04,1864.7653419971466,1800,64.7653419971466
0,2681257,0,32,00:31:00,gordon.sdsc.xsede.org,09/02/2016,19:02:14,1865.6626200675964,1800,65.66262006759644
0,2681277,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,19:33:25,1866.6442170143127,1800,66.64421701431274
15:32:14,2681290,33:46:50,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,20:04:38,1987.8202688694,1800,187.82026886940002
14:46:19,2681338,25:38:34,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,20:37:51,1865.7897899150848,1800,65.78978991508484
0,2681470,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,21:09:03,1864.7770998477936,1800,64.77709984779358
0,2681478,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,21:40:13,1865.641555070877,1800,65.64155507087708
0,2681488,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,22:11:25,1865.6834979057312,1800,65.6834979057312
0,2681494,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,22:42:37,1865.6616830825806,1800,65.66168308258057
12:06:07,2681500,36:01:32,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,23:13:48,1866.873505115509,1800,66.87350511550903
0,2681508,0,16,00:31:00,gordon.sdsc.xsede.org,09/02/2016,23:45:00,1865.6881890296936,1800,65.6881890296936
0,2681520,0,16,00:31:00,gordon.sdsc.xsede.org,09/03/2016,00:16:12,1865.9258568286896,1800,65.92585682868958
0,2681531,0,16,00:31:00,gordon.sdsc.xsede.org,09/03/2016,00:47:24,1865.8014810085297,1800,65.80148100852966
0,2681535,0,16,00:31:00,gordon.sdsc.xsede.org,09/03/2016,01:18:35,1865.6501820087433,1800,65.65018200874329
05:12:26,2681541,14:57:31,16,00:31:00,gordon.sdsc.xsede.org,09/03/2016,01:49:46,1865.9312069416046,1800,65.93120694160461
0,2681550,0,16,00:31:00,gordon.sdsc.xsede.org,09/03/2016,02:20:58,1865.1611230373383,1800,65.16112303733826
0,2681559,0,16,00:31:00,gordon.sdsc.xsede.org,09/03/2016,02:52:09,1865.684396982193,1800,65.684396982193
0,2681562,0,16,00:31:00,gordon.sdsc.xsede.org,09/03/2016,03:23:20,1866.1042110919952,1800,66.10421109199524
0,2681583,0,16,00:31:00,gordon.sdsc.xsede.org,09/03/2016,03:54:32,1865.6628890037537,1800,65.66288900375366
02:56:58,2681589,09:50:15,16,00:31:00,gordon.sdsc.xsede.org,09/03/2016,04:25:43,1866.5733561515808,1800,66.57335615158081
